PF_CORP, COMPANY, LEGAL_NAME, DBA_NAME, ADDRESS1, ADDRESS2, CITY, STATE, POSTAL, NAICS, FEDERAL_EIN, STATE_DOL#, LEGAL_STATUS, CLIENT_PHONE, CLIENT_FAX, EMAIL_ADDR, FILING_DESCR, ADDRESS1_1, ADDRESS2_1, CITY_1, STATE_1, POSTAL_1, DBL_MALES, DBL_FEMALES, PFL_MALES, PFL_FEMALES, COVERED_ANNUAL_PAYROLL, STATUS, STATUS_DATE, CANCEL_REASON
"PEOUS","OTS","Generic Network Systems, LLC"," ","333 W 39th Street","Room 903","New York","NY",10018,"541512", 202698302, ,"Limited Liability Company"," "," "," ","Generic Network Systems LLC-HQ","333 W 39th Street","Room 903","New York","NY",10018,13,2,13,2,1523860,"ADD",04/11/2018," "
"PEOUS","PNC","S&G Hampton Sun LLC"," ","241 West 30th Street","4th Floor","New York","NY",10001,"325620", 432041291, ,"Limited Liability Company"," "," "," ","Hampton Sun-HQ","241 West 30th Street","4th Floor","New York","NY",10001,0,2,0,2,112000,"ADD",04/11/2018," "
"PEO01","C2N","RevPoint Media, LLC"," ","12 Water Street","Suite 203","White Plains","NY",10601,"519130", 273632460, ,"Limited Liability Company"," "," "," ","Revpoint Media-HQ","12 Water Street","Suite 203","White Plains","NY",10601,3,0,3,0,156200,"ADD",04/11/2018," "
"PEO01","E52","Davison Low LLC"," ","228 Park Avenue South","Suite 34923","New York","NY",10003,"541611", 461254193, ,"Limited Liability Company"," "," "," ","Davison Low LLC-HQ","228 Park Avenue South","Suite 34923","New York","NY",10003,2,0,2,0,70200,"ADD",04/11/2018," "
"PEOUS","7GI","Foot Ankle and Leg Specialist of SFL Inc"," ","1600 Town Center Blvd","Suite C","Weston","FL",33326,"621111", 650105427, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,17680,"ADD",04/11/2018," "
"PEOUS","TPH","Healthy Profits, LLC"," ","3348 Peachtree Road NE","Suite 750","Atlanta","GA",30026,"621999", 352398431, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,3,2,3,2,137879,"ADD",04/11/2018," "
"PEO02","OPN","Dorsia Investment Group LLC"," ","250 Greenwich St","46th Floor","New York","NY",10007,"523920", 461890406, ,"Limited Liability Company"," "," "," ","Dorsia Investment Group LLC-HQ","250 Greenwich St","46th Floor","New York","NY",10007,2,0,2,0,300000,"ADD",04/11/2018," "
"PEO01","HE1","ArtBinder, Inc."," ","508 W 26th Street","#4G","New York","NY",10001,"511210", 465502280, ,"Corporation"," "," "," ","ArtBinder, Inc.-HQ","508 W 26th Street","#4G","New York","NY",10001,3,8,3,8,859000,"ADD",04/11/2018," "
"PEOUS","SPV","JBJ Financial Group LLC"," ","186 Wood Ave S","Suite 301","Iselin","NJ",08830,"523930", 822057017, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,53000,"ADD",04/11/2018," "
"PEOUS","TIX","AutoAlert, LLC"," ","114 W 11th St","Suite 700","Kansas City","MO",64105,"511210", 721534925, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,5,2,5,2,660000,"ADD",04/11/2018," "
"PEO02","LJH","SLS Management, LLC"," ","37 W 57th Street","10th Floor","New York","NY",10019,"523920", 134060954, ,"Limited Liability Company"," "," "," ","SLS Management, LLC-HQ","37 W 57th Street","10th Floor","New York","NY",10019,2,2,2,2,785000,"ADD",04/11/2018," "
"PEOUS","NNT","Crealytics Inc."," ","433 Broadway",,"New York","NY",10013,"541810", 812858083, ,"Corporation"," "," "," ","Crealytics Inc.-HQ","433 Broadway",,"New York","NY",10013,5,2,5,2,793552,"ADD",04/11/2018," "
"PEOUS","MG3","MassMutual External Benefits Group LLC"," ","1295 State St.",,"Springfield","MA",01111,"523930", 273576835, ,"Limited Liability Company"," "," "," ","Brooklyn Office","745 64th Street","#3L","Brooklyn","NY",11220,3,12,3,12,1057129,"ADD",04/11/2018," "
"PEOUS","D0X","Cortica-US, Inc."," ","425 Broadway","2nd Floor","New York","NY",10013,"519130", 753269786, ,"Corporation"," "," "," ","Cortica-US, Inc.-HQ","425 Broadway","2nd Floor","New York","NY",10013,6,1,6,1,802980,"ADD",04/11/2018," "
"PEOUS","LDX","PsyInnovations, Inc."," ","270 W 22nd Street","Unit 9","New York","NY",10011,"511210", 471887188, ,"Corporation"," "," "," ","Psy Innovations-HQ","270 W 22nd Street","Unit 9","New York","NY",10011,2,1,2,1,210100,"ADD",04/11/2018," "
"PEO01","DLO","Rosa Tax and Consulting Inc."," ","333 Jericho Turnpike","Suite 136","Jericho","NY",11753,"541211", 272277275, ,"Corporation"," "," "," ","Rosa, Shiffrin & Associates-HQ","333 Jericho Turnpike","Suite 136","Jericho","NY",11753,4,3,4,3,345693,"ADD",04/11/2018," "
"PEOUS","MEV","VOQUZ It Solutions Inc."," ","85 Broad Street","Suite 17-104","New York","NY",10004,"541512", 300878713, ,"Corporation"," "," "," ","VOQUZ IT Solutions-HQ","85 Broad Street","Suite 17-104","New York","NY",10004,1,0,1,0,100000,"ADD",04/11/2018," "
"PEO04","QH9","MHS ARTISTS LLC"," ","80 RICHARDS STREET","SUITE 201","BROOKLYN","NY",11231,"512110", 815347967, ,"Corporation"," "," "," ","MHS ARTISTS LLC-HQ","80 RICHARDS STREET STE 201",,"BROOKLYN","NY",11231,26,9,26,9,1261177,"ADD",04/11/2018," "
"PEOUS","M6O","Propeller Studio Inc."," ","64 East 4th St","4th Floor","New York","NY",10003,"541511", 611774027, ,"Corporation"," "," "," ","Propeller-HQ","64 East 4th St","4th Floor","New York","NY",10003,1,1,1,1,160000,"ADD",04/11/2018," "
"PEO02","GUY","21 Jay LLC"," ","527 Madison Avenue","6th Floor","New York","NY",10022,"814110", 465710009, ,"Limited Liability Company"," "," "," ","21 Jay LLC-HQ","527 Madison Avenue","6th Floor","New York","NY",10022,0,2,0,2,150000,"ADD",04/11/2018," "
"PEO02","G24","Milestone New York LLC"," ","340 Madison Avenue","19th Floor","New York","NY",10173,"541611", 208889678, ,"Limited Liability Company"," "," "," ","Milestone New York LLC-HQ","340 Madison Ave","19th Floor","New York","NY",10173,16,2,16,2,4675900,"ADD",04/11/2018," "
"PEOUS","KE1","Hacknocraft"," ","100 Riverside Blvd","10U","New York","NY",10069,"541511", 464664787, ,"Corporation"," "," "," ","Hacknocraft-HQ","100 Riverside Blvd","10U","New York","NY",10069,2,0,2,0,93600,"ADD",04/11/2018," "
"PEOUS","SLG","Qapital Invest LLC"," ","304 Hudson Street","Suite 505","New York","NY",10013,"511210", 364870183, ,"Corporation"," "," "," ","Qapital Invest LLC-HQ","304 Hudson Street","Suite 505","New York","NY",10013,1,0,1,0,25000,"ADD",04/11/2018," "
"PEOUS","TIR","Colugo Labs LLC"," ","940 Stewart Dr","Suite 320","Sunnyvale","CA",94085,"541511", 823128614, ,"Corporation"," "," "," ","New York Office","61 Broadway","Room 1105","New York","NY",10006,8,3,8,3,1990000,"ADD",04/11/2018," "
"PEO02","GIS","Aurelius Capital Management, LP"," ","535 Madison Avenue","22nd Floor","New York","NY",10022,"523930", 331115695, ,"Limited Partnership"," "," "," ","Aurelius Capital Management-HQ","535 Madison Avenue","22nd Floor","New York","NY",10022,27,15,27,15,7423000,"ADD",04/11/2018," "
"PEOUS","S9O","Adaptive Management, Inc."," ","246 5th Ave","3rd Floor","New York","NY",10001,"518210", 814283196, ,"Corporation"," "," "," ","Adaptive Management, Inc.-HQ","246 5th Ave","3rd Floor","New York","NY",10001,15,3,15,3,2973000,"ADD",04/11/2018," "
"PEOUS","KTQ","S9 Architecture and Engineering, PC"," ","460 West 34th Street","20th floor","New York","NY",10001,"541310", 454047713, ,"Corporation"," "," "," ","S9 Architecture-HQ","460 West 34th Street","20th floor","New York","NY",10001,43,24,43,24,6251802,"ADD",04/11/2018," "
"PEO05","PYH","G.A. Windows, Inc."," ","175-16 LIBERTY AVENUE",,"JAMAICA","NY",11433,"238350", 113486398, ,"Corporation"," "," "," ","Adler Windows-HQ","175-16 Liberty Avenue",,"Jamaica","NY",11433,99,11,99,11,6992805,"ADD",04/11/2018," "
"PEOUS","5Z5","Ace Metrix"," ","1960 East Grand Ave","Suite 510","El Segundo","CA",90245,"541511", 261177147, ,"Corporation"," "," "," ","Ace Metrix-Office NY","11 Madison Ave, 12th Floor",,"New York","NY",10010,1,2,1,2,312000,"ADD",04/11/2018," "
"PEOUS","SQC","FLODocs US, Inc."," ","1990 N California Blvd","8th Floor","Walnut Creek","CA",94596,"541511", 821794195, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,50000,"ADD",04/11/2018," "
"PEO07","OTQ","Instacare Group, Inc."," ","270 Linden Street","Suite 101","San Francisco","CA",94102,"621410", 811067638, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,110000,"ADD",04/11/2018," "
"PEOUS","PIO","BeecherMadden, LLC"," ","31 West 34th Street, 7th & 8th Floor",,"New York","NY",10001,"561312", 471557604, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,65000,"ADD",04/11/2018," "
"PEOUS","PEG","Brightfield Strategies, LLC"," ","575 8th Ave Rm 1715",,"New York","NY",10018,"541618", 208771205, ,"Limited Liability Company"," "," "," ","Brightfield Strategies, LLC-HQ","575 8th Ave Rm 1715",,"New York","NY",10018,4,1,4,1,845000,"ADD",04/11/2018," "
"PEOUS","KF6","Donor.com, Inc."," ","229 Ward Circle",,"Brentwood","TN",37027,"511210", 473487247, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,39000,"ADD",04/11/2018," "
"PEO01","J70","Artbook LLC"," ","75 Broad Street","Suite 630","New York","NY",10004,"451211", 261484542, ,"Limited Liability Company"," "," "," ","Aspace Warehouse","195 Morgan Avenue","Unit 307","Brooklyn","NY",11206,4,4,4,4,186861,"ADD",04/11/2018," "
"PEOUS","NPB","Receiptless Software Inc."," ","12 East 49th Street",,"New York","NY",10017,"541511", 473992414, ,"Corporation"," "," "," ","SPENT-HQ","12 East 49th Street",,"New York","NY",10017,1,0,1,0,200000,"ADD",04/11/2018," "
"PEOUS","AL1","HealthCare Information Management, Inc."," ","712 Bancroft Rd","Suite 456","Walnut Creek","CA",94598,"511210", 680467063, ,"Corporation"," "," "," ","Remote - NY",,,,"NY",,1,0,1,0,100000,"ADD",04/11/2018," "
"PEOUS","K8K","Veetee Foods Inc"," ","1377 Motor Parkway","Ste 305","Islandia","NY",11749,"424510", 223387554, ,"Corporation"," "," "," ","Veetee Foods Inc-HQ","1377 Motor Parkway","Ste 305","Islandia","NY",11749,1,1,1,1,218198,"ADD",04/11/2018," "
"PEO02","S9M","KCL Capital LP"," ","600 Lexington Avenue","28th Floor","New York","NY",10022,"523920", 821369851, ,"Limited Partnership"," "," "," ","KCL Capital LP-HQ","600 Lexington Avenue","28th Floor","New York","NY",10022,8,1,8,1,1500000,"ADD",04/11/2018," "
"PEOUS","H7X","Angel Island Capital Management, LLC"," ","1 Embarcadero Center","21st Floor","San Francisco","CA",94111,"523910", 462500653, ,"Limited Liability Company"," "," "," ","Angel Island New York","717 5th Avenue","17th Floor","New York","NY",10022,0,1,0,1,300000,"ADD",04/11/2018," "
"PEO01","D8Q","Marstone, Inc."," ","1301 Avenue of the Americas","28th Floor","New York","NY",10019,"523920", 383846070, ,"Corporation"," "," "," ","Marstone, Inc.-HQ","1301 Avenue of the Americas","28th Floor","New York","NY",10019,3,1,3,1,455000,"ADD",04/11/2018," "
"PEO05","Q2B","WALKER TRADING COMPANY INC"," ","11600 CROSSROADS CIR SUITE E",,"MIDDLE RIVER","MD",21220,"453991", 460798593, ,"Corporation"," "," "," ","WALKER TRADING CO - NY LOC","34-05 146TH STREET",,"FLUSHING","NY",11354,1,0,1,0,24960,"ADD",04/11/2018," "
"PEOUS","KZM","Techworks Consulting, Inc"," ","4551b Sunrise Hwy",,"Bohemia","NY",11716,"541512", 223868470, ,"Corporation"," "," "," ","Techworks Consulting, Inc-HQ","4551b Sunrise Hwy",,"Bohemia","NY",11716,17,7,17,7,1360260,"ADD",04/11/2018," "
"PEO02","OLS","Silverstone Property Group LLC"," ","825 Third Avenue 36th Floor",,"New York","NY",10022,"531311", 271451219, ,"Limited Liability Company"," "," "," ","Silverstone Property Group-HQ","825 Third Avenue","36th Floor","New York","NY",10022,47,16,47,16,3462997,"ADD",04/11/2018," "
"PEOUS","OGJ","Development Counsellors International, Ltd."," ","215 Park Avenue South","14th Floor","New York","NY",10003,"541613", 131945303, ,"Corporation"," "," "," ","Development Counsellors Int-HQ","215 Park Avenue South","14th Floor","New York","NY",10003,5,32,5,32,3036321,"ADD",04/11/2018," "
"PEO01","D9L","Taptica, Inc."," ","115 Sansome Street","Suite 810","San Francisco","CA",94104,"541613", 462511250, ,"Corporation"," "," "," ","NY Office","WeWork","205 E 42nd Street","New York","NY",10017,0,6,0,6,640000,"ADD",04/11/2018," "
"PEO05","SSA","DACO Worldwide Marketing Inc"," ","3300 Davie Road","Suite 104","Davie","FL",33314,"493110", 223828258, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,27500,"ADD",04/11/2018," "
"PEO05","PW4","SOLUDOS LLC"," ","520 BROADWAY 5TH FLOOR",,"NEW YORK","NY",10012,"424340", 273320855, ,"Corporation"," "," "," ","SOLUDOS LLC-HQ","520 BROADWAY 5TH FLOOR",,"NEW YORK","NY",10012,3,17,3,17,1705081,"ADD",04/11/2018," "
"PEO02","JXJ","Ellis Lake Investment Management Inc."," ","444 Madison ave Fl 40",,"NY","NY",10022,"523920", 473981316, ,"Corporation"," "," "," ","Ellis Lake Investment Manag-HQ","444 Madison ave Fl 40",,"New York","NY",10022,2,0,2,0,255000,"ADD",04/11/2018," "
"PEO02","GIZ","Waller Capital Partners, LLC"," ","1 Rockefeller Plaza","Suite 2322","New York","NY",10020,"523930", 208039170, ,"Limited Liability Company"," "," "," ","Waller Capital Partners, LL-HQ","1 Rockefeller Plaza","Suite 2322","New York","NY",10020,5,4,5,4,1290000,"ADD",04/11/2018," "
"PEOUS","I89","Hoberman Law Group PLLC"," ","95 Dogwood Ave",,"Roslyn","NY",11576,"541110", 472146161, ,"Limited Liability Company"," "," "," ","Hoberman Law Group-HQ","95 Dogwood Ave",,"Roslyn","NY",11576,0,2,0,2,125100,"ADD",04/11/2018," "
"PEO02","S60","Summit Trail Securities, LLC"," ","140 East 45th Street","34th Floor","New York","NY",10017,"523120", 611803009, ,"Limited Liability Company"," "," "," ","NY Office","2 Grand Central Tower",,"New York","NY",10017,1,1,1,1,0,"ADD",04/11/2018," "
"PEO01","CUJ","MARTIN BRUDNIZKI DESIGN STUDIO, LLC"," ","227 W 29th Street","13th Floor","New York","NY",10001,"541410", 462331891, ,"Limited Liability Company"," "," "," ","MARTIN BRUDNIZKI DESIGN STU-HQ","227 W 29th Street","13th Floor","New York","NY",10001,8,12,8,12,1592200,"ADD",04/11/2018," "
"PEOUS","LX1","Ward Howell International LLC"," ","275 Madison Ave","Suite 2800, Floor 28","New York","NY",10016,"541611", 320478356, ,"Limited Liability Company"," "," "," ","Ward Howell International-HQ","275 Madison Ave","Suite 2800, Floor 28","New York","NY",10016,1,1,1,1,73660,"ADD",04/11/2018," "
"PEOUS","HA7","LockPath, Inc."," ","6240 Sprint Parkway","Suite 100","Overland Park","KS",66211,"511210", 270362045, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,130000,"ADD",04/11/2018," "
"PEOUS","T6B","Red Leaf Creative LLC"," ","81 Prospect Street",,"Brooklyn","NY",11201,"541310", 821360584, ,"Corporation"," "," "," ","Red Leaf Creative LLC-HQ","81 Prospect Street",,"Brooklyn","NY",11201,4,0,4,0,258000,"ADD",04/11/2018," "
"PEOUS","TZX","Chartwell Seventeen Advisory Group, Inc."," ","733 Third Avenue","15th Floor","New York","NY",10017,"541613", 454951102, ,"Corporation"," "," "," ","Chartwell Seventeen Advisor-HQ","733 Third Avenue","15th Floor","New York","NY",10017,1,0,1,0,111372,"ADD",04/11/2018," "
"PEOUS","KYJ","The LCO Group Inc."," ","420 Lexington Avenue","Suite 2154","New York","NY",10170,"541512", 264835316, ,"Corporation"," "," "," ","The LCO Group-HQ","420 Lexington Avenue","Suite 2154","New York","NY",10170,9,1,9,1,825375,"ADD",04/11/2018," "
"PEO02","L4T","Oribel Capital Management, LP"," ","477 Madison Avenue","Suite 520","New York","NY",10022,"523920", 474376050, ,"Limited Partnership"," "," "," ","HQ","477 Madison Avenue","Suite 520","New York","NY",10022,2,0,2,0,300000,"ADD",04/11/2018," "
"PEO01","UAH","Responsive Media Tech Services LLC"," ","35 West 36th St","Suite 4E","New York","NY",10018,"541810", 463146290, ,"Corporation"," "," "," ","Responsive Media Tech Servi-HQ","35 West 36th St","Suite 4E","New York","NY",10018,0,1,0,1,105000,"ADD",04/11/2018," "
"PEO02","GR7","BeaconLight Capital LLC"," ","350 Madison Avenue, 22nd Fl",,"New York","NY",10017,"523920", 270771768, ,"Limited Liability Company"," "," "," ","BeaconLight Capital LLC-HQ","350 Madison Avenue, 22nd Fl",,"New York","NY",10017,6,7,6,7,1925000,"ADD",04/11/2018," "
"PEOUS","SL7","The Number LLC"," ","459 Broadway","4th Floor","New York","NY",10013,"519130", 822096033, ,"Limited Liability Company"," "," "," ","The Number LLC-HQ","459 Broadway","4th Floor","New York","NY",10013,4,2,4,2,855000,"ADD",04/11/2018," "
"PEOUS","OY2","Insurance Strategies LLC"," ","500 Mamaroneck Avenue","Suite 320","Harrison","NY",10528,"524210", 813040157, ,"Limited Liability Company"," "," "," ","Insurance Strategies LLC-HQ","500 Mamaroneck Avenue","Suite 320","Harrison","NY",10528,2,0,2,0,48000,"ADD",04/11/2018," "
"PEO02","GEI","Trimaran Fund Management, LLC"," ","1325 Avenue of the Americas","25th Floor","New York","NY",10019,"523920", 522189505, ,"Limited Liability Company"," "," "," ","Trimaran Fund Management, L-HQ","1325 Avenue of the Americas","25th Floor","New York","NY",10019,1,3,1,3,562760,"ADD",04/11/2018," "
"PEOUS","SA9","Timegen Inc."," ","923 Saw Mill River Rd","Suite 184","Ardsley","NY",10502,"541512", 134104093, ,"Corporation"," "," "," ","Timegen Inc.-HQ","923 Saw Mill River Rd","Suite 184","Ardsley","NY",10502,1,0,1,0,37830,"ADD",04/11/2018," "
"PEOUS","J89","Norgay Partners"," ","205 E 42nd",,"New York","NY",10017,"561312", 473223939, ,"Corporation"," "," "," ","Norgay Partners-HQ","205 E 42nd",,"New York","NY",10017,1,3,1,3,530000,"ADD",04/11/2018," "
"PEOUS","L15","Ladder Digital Inc."," ","337 East 8th B",,"New York","NY",10009,"541613", 474902891, ,"Corporation"," "," "," ","Ladder Digital Inc.-HQ","337 East 8th B",,"New York","NY",10009,6,3,6,3,675000,"ADD",04/11/2018," "
"PEOUS","U09","Syndio Solutions, Inc."," ","877 Cedar Street","Suite 150","Santa Cruz","CA",95060,"511210", 814216193, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,225000,"ADD",04/11/2018," "
"PEOUS","KHG","Deep Tech Inc."," ","151 W 25th St","Floor 4","New York","NY",10001,"541512", 223745108, ,"Corporation"," "," "," ","Deep Tech Inc.-HQ","151 W 25th St","Floor 4","New York","NY",10001,10,3,10,3,980399,"ADD",04/11/2018," "
"PEOUS","AX2","Record Currency Management (US), Inc"," ","251 Little Falls Drive",,"Wilmington","DE",19808,"523130", 452723494, ,"Corporation"," "," "," ","NY Office","270 Lafayette St","Suite 705","New York","NY",10012,1,0,1,0,146260,"ADD",04/11/2018," "
"PEOUS","MC6","BHMS Investments, LP"," ","126 East 56th Street","19th Floor","New York","NY",10022,"523910", 274574065, ,"Limited Partnership"," "," "," ","BHMS Investments, LP-HQ","126 East 56th Street","19th Floor","New York","NY",10022,5,0,5,0,815000,"ADD",04/11/2018," "
"PEOUS","JBC","Westfield-Research LLC"," ","54 W. 40th Street",,"New York","NY",10018,"541720", 472265958, ,"Limited Liability Company"," "," "," ","Westfield-Research LLC-HQ","54 W. 40th Street",,"New York","NY",10018,1,0,1,0,35100,"ADD",04/11/2018," "
"PEO01","D2N","Blippar, LLC"," ","12 East 49th Street","11th floor","New York","NY",10017,"519130", 371689280, ,"Limited Liability Company"," "," "," ","Blippar-HQ","12 East 49th Street","11th floor","New York","NY",10017,13,8,13,8,2262000,"ADD",04/11/2018," "
"PEOUS","KS1","LEMONADE GROUP, INC."," ","5 Crosby Street","3rd Floor","New York","NY",10013,"519130", 320469673, ,"Corporation"," "," "," ","Lemonade Group, Inc.-HQ","5 Crosby Street","3rd Floor","New York","NY",10013,19,18,19,18,4272500,"ADD",04/11/2018," "
"PEOUS","PBS","CFTG Inc."," ","60 Chelsea Piers, Suite 6014",,"New York","NY",10011,"511210", 455369225, ,"Corporation"," "," "," ","Docurated-HQ","60 Chelsea Piers","Suite 6014","New York","NY",10011,12,4,12,4,1923000,"ADD",04/11/2018," "
"PEO01","BC5","Seleni House Foundation, Inc."," ","207 East 94th St","2nd Floor","New York","NY",10128,"813211", 900728260, ,"Corporation"," "," "," ","Seleni House Foundation, In-HQ","207 East 94th St","2nd Floor","New York","NY",10128,1,3,1,3,404000,"ADD",04/11/2018," "
"PEO07","D0L","Abacus Capital Group LLC"," ","420 Lexington Avenue","Suite 2821","New York","NY",10170,"531390", 201118324, ,"Limited Liability Company"," "," "," ","Abacus Capital Group LLC-HQ","420 Lexington Avenue","Suite 2821","New York","NY",10170,6,1,6,1,1150800,"ADD",04/11/2018," "
"PEO02","G1F","Samlyn Capital, LLC"," ","500 Park Avenue","2nd Floor","NEW YORK","NY",10022,"523920", 205854094, ,"Limited Liability Company"," "," "," ","Samlyn Capital, LLC-HQ","500 Park Avenue","2nd Floor","NEW YORK","NY",10022,29,10,29,10,8268714,"ADD",04/11/2018," "
"PEOUS","MII","BMG Energy Trading LLC"," ","222 Broadway Ste 2518",,"New York","NY",10038,"523140", 474102651, ,"Limited Liability Company"," "," "," ","BMG Energy Trading LLC-HQ","222 Broadway Ste 2518",,"New York","NY",10038,3,0,3,0,145200,"ADD",04/11/2018," "
"PEO01","CVT","Rocketrip, Inc."," ","14 East 38th Street","2nd Floor","New York","NY",10016,"541511", 462473983, ,"Corporation"," "," "," ","Rocketrip-HQ","14 East 38th Street","2nd Floor","New York","NY",10016,44,25,44,25,7155000,"ADD",04/11/2018," "
"PEOUS","HS8","Ghost Tree Capital, LLC"," ","150 East 52nd St","Suite 17001","New York","NY",10022,"523920", 462174699, ,"Limited Liability Company"," "," "," ","Ghost Tree Capital, LLC-HQ","150 East 52nd St","Suite 17001","New York","NY",10022,5,1,5,1,896800,"ADD",04/11/2018," "
"PEOUS","I99","Lionpoint Group LLC"," ","535 Fifth Ave","30th Fl","New York","NY",10017,"541611", 465495680, ,"Limited Liability Company"," "," "," ","Lionpoint Group-HQ","535 Fifth Ave","30th Fl","New York","NY",10017,9,4,9,4,1487717,"ADD",04/11/2018," "
"PEO02","FXP","EuroClear Bank, S.A/N.V."," ","40 Wall Street","39th Floor","New York","NY",10005,"522293", 980336311, ,"Corporation"," "," "," ","EuroClear Bank, S.A/N.V.-HQ","40 Wall Street","39th Floor","New York","NY",10005,11,9,11,9,1858471,"ADD",04/11/2018," "
"PEOUS","UB5","EWCRS Inc."," ","971 Route 45",,"Pomona","NY",10970,"524126", 810744893, ,"Corporation"," "," "," ","EWCRS Inc.-HQ","971 Route 45",,"Pomona","NY",10970,1,0,1,0,84000,"ADD",04/11/2018," "
"PEOUS","O7D","Argon Investment Management, LLC"," ","9465 Wilshire Blvd","Suite 300","Beverly Hills","CA",90212,"531390", 813668988, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,120000,"ADD",04/11/2018," "
"PEO05","RFJ","WESTCHESTER BURGERS OF PELHAM MANOR, LLC"," ","798 PELHAM PKWY",,"PELHAM","NY",10803,"722513", 271120906, ,"Corporation"," "," "," ","WESTCHESTER BURGERS OF PELH-HQ","798 PELHAM PKWY",,"PELHAM","NY",10803,13,8,13,8,334825,"ADD",04/11/2018," "
"PEOUS","001","TriNet HR III, Inc."," ","1100 San Leandro Blvd","Suite 400","San Leandro","CA",94577,"561330", 481304650, ,"Corporation"," "," "," ","NY-New York (42nd)","122 East 42nd Street","Suite 3400","New York","NY",10168,85,83,85,83,18229009,"ADD",04/11/2018," "
"PEOUS","JHK","The Bone Marrow Foundation"," ","515 Madison Avenue","Suite 1130","New York","NY",10022,"813211", 133674198, ,"Trust or Estate"," "," "," ","The Bone Marrow Foundation-HQ","515 Madison Avenue","Suite 1130","New York","NY",10022,0,10,0,10,427811,"ADD",04/11/2018," "
"PEO02","G1G","Darkstar Asset Management, LLC"," ","155 Avenue of the Americas","5th Floor","NEW YORK","NY",10013,"523920", 204809412, ,"Limited Liability Company"," "," "," ","Darkstar Asset Management, -HQ","155 Avenue of the Americas","5th Floor","NEW YORK","NY",10013,1,2,1,2,197800,"ADD",04/11/2018," "
"PEOUS","OOB","AcuityAds US Inc"," ","577 Second Street","Suite 101","San Francisco","CA",94107,"519130", 412282345, ,"Corporation"," "," "," ","New York Office 1","127 West 26th Street","Unit 1200","New York","NY",10001,2,0,2,0,140000,"ADD",04/11/2018," "
"PEO02","FZJ","Shopkorn Management LLC"," ","410 Park Ave.","6th Floor","New York","NY",10022,"523920", 510466841, ,"Limited Liability Company"," "," "," ","Shopkorn Management LLC-HQ","410 Park Ave.","6th Floor","New York","NY",10022,1,1,1,1,80340,"ADD",04/11/2018," "
"PEOUS","OI3","Fetch Rewards, Inc."," ","131 W Wilson Street","Suite 400","Madison","WI",53703,"511210", 462519388, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,100000,"ADD",04/11/2018," "
"PEOUS","SQP","LumApps, Inc."," ","575 Madison Avenue","25th Floor","New York","NY",10022,"511210", 812905954, ,"Corporation"," "," "," ","LumApps, Inc.-HQ","575 Madison Avenue","25th Floor","New York","NY",10022,9,1,9,1,747000,"ADD",04/11/2018," "
"PEOUS","O23","The Children's Hearing Institute, Inc"," ","363 Seventh Avenue","10th Floor","New York","NY",10001,"813319", 133794212, ,"Corporation"," "," "," ","Children's Hearing Institut-HQ","363 Seventh Avenue","10th Floor","New York","NY",10001,0,1,0,1,131170,"ADD",04/11/2018," "
"PEOUS","SR6","Aaptiv Inc."," ","1140 Broadway","Suite 800","New York","NY",10001,"511210", 465172617, ,"Corporation"," "," "," ","Aaptiv Inc.-HQ","1140 Broadway","Suite 800","New York","NY",10001,43,29,43,29,8326180,"ADD",04/11/2018," "
"PEO05","QDW","SITE SELECTION GROUP, LLC"," ","8300 DOUGLAS AVE., STE. 700",,"DALLAS","TX",75225,"531210", 134350247, ,"Corporation"," "," "," ","NY - SITE SELECTION","189 BEDELL AVE",,"HEMPSTEAD","NY",11550,0,1,0,1,120000,"ADD",04/11/2018," "
"PEO02","G4H","Ladder Capital Finance LLC"," ","345 Park Avenue","8th Floor","New York","NY",10154,"522292", 262048558, ,"Limited Liability Company"," "," "," ","Ladder Capital Finance LLC-HQ","345 Park Avenue","8th Floor","New York","NY",10154,48,16,48,16,11096000,"ADD",04/11/2018," "
"PEOUS","LJR","Harley Capital LLC"," ","757 3rd Ave","21st floor","New York","NY",10017,"523930", 810813865, ,"Limited Liability Company"," "," "," ","Harley Capital LLC-HQ","757 3rd Ave","21st floor","New York","NY",10017,5,2,5,2,441300,"ADD",04/11/2018," "
"PEOUS","I1F","CHARDAN CAPITAL MARKETS LLC"," ","17 State Street","Suite 1600","New York","NY",10004,"523110", 134158698, ,"Limited Liability Company"," "," "," ","CHARDAN CAPITAL MARKETS LLC-HQ","17 State Street","Suite 1600","New York","NY",10004,34,7,34,7,4011000,"ADD",04/11/2018," "
