PF_CORP, COMPANY, LEGAL_NAME, DBA_NAME, ADDRESS1, ADDRESS2, CITY, STATE, POSTAL, NAICS, FEDERAL_EIN, STATE_DOL#, LEGAL_STATUS, CLIENT_PHONE, CLIENT_FAX, EMAIL_ADDR, FILING_DESCR, ADDRESS1_1, ADDRESS2_1, CITY_1, STATE_1, POSTAL_1, DBL_MALES, DBL_FEMALES, PFL_MALES, PFL_FEMALES, COVERED_ANNUAL_PAYROLL, STATUS, STATUS_DATE, CANCEL_REASON
"PEOUS","BXV","Ensighten Inc"," ","226 Airport Parkway","Suite 390","San Jose","CA",95110,"541511", 271571036, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,55000,"ADDRESS",01/24/2018," "
"PEO02","G4K","JRock Consulting, Inc."," ","9 W 31st St","Apt 6D","New York","NY",10001,"541612", 204458224, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,1,1,1,33280,"ADDRESS",01/24/2018," "
"PEOUS","BVZ","Modern Meadow, Inc."," ","340 Kingsland Street","Building 102","Nutley","NJ",07110,"541713", 452927254, ,"Corporation"," "," "," ","New Lab - BK","19 Morris Avenue","Building 128, Unit 208","Brooklyn","NY",11205,3,6,3,6,1497600,"ADDRESS",01/24/2018," "
"PEOUS","AI2","Easyvista, Inc"," ","3 Columbus Circle","15th Floor Suite 1532","New York","NY",10019,"541511", 043484009, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,2,1,2,273550,"ADDRESS",01/24/2018," "
"PEOUS","SC5","The Decker Royal Agency, LLC"," ","54 West 40th Street","7th Floor","New York","NY",10018,"541820", 470978214, ,"Limited Liability Company"," "," "," ","NY Office","135 W 41st St","Fl 5","New York","NY",10036,1,4,1,4,279000,"ADDRESS",01/24/2018," "
"PEOUS","JH0","Posse Productions LLC"," ","63 Engert Avenue","#4","Brooklyn","NY",11222,"541511", 462633133, ,"Limited Liability Company"," "," "," ","POSSE-NYC-SR","30 W 22nd Street","4th Floor","New York","NY",10010,3,1,3,1,460000,"ADDRESS",01/24/2018," "
"PEO02","LEE","Australis Partners LLC"," ","675 Third Avenue","Suite 816","New York","NY",10017,"525990", 472369399, ,"Limited Liability Company"," "," "," ","675 Third Avenue, Suite 816","675 Third Avenue, Suite 816",,"New York","NY",10017,1,0,1,0,250000,"ADDRESS",01/24/2018," "
"PEO01","DXS","adMixt, Inc."," ","40 E Main Street","Suite 692","Norwalk","DE",19711,"518210", 455488621, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,120000,"ADDRESS",01/24/2018," "
"PEOUS","CJH","Unmetric, Inc."," ","25 Broadway","9th Floor","New York","NY",10004,"518210", 454254983, ,"Corporation"," "," "," ","New York Office","175 Varick Street, Suite 323",,"New York","NY",10013,1,2,1,2,450000,"ADDRESS",01/24/2018," "
"PEOUS","4EX","Sitrion, Inc."," ","1999 Broadway","Suite 1100","Denver","CO",80202,"541511", 841440009, ,"Corporation"," "," "," ","NewsGator Tech-Remote NY",,,,"NY",,1,0,1,0,71379,"ADDRESS",01/24/2018," "
"PEOUS","5DW","SecureAuth Corporation"," ","8845 Irvine Center Dr","Suite 200","Irvine","CA",92618,"541511", 203801802, ,"Corporation"," "," "," ","NY Remote",,,,"NY",,1,0,1,0,175000,"ADDRESS",01/24/2018," "
"PEOUS","KAC","Hope Street Group"," ","PO Box 53098",,"Washington","DC",20009,"813319", 450497577, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,275000,"ADDRESS",01/24/2018," "
"PEO05","QIX","DOMAIN COS MANAGEMENT, LLC"," ","11 PARK PLACE","SUITE 1705","NEW YORK","NY",10007,"813312", 421764482, ,"Corporation"," "," "," ","DOMAIN COS - MANHATTAN AVE","1133 MANHATTAN AVE",,"BROOKLYN","NY",11222,1,1,1,1,175003,"ADDRESS",01/24/2018," "
"PEO02","GJQ","Worth Venture Partners, LLC"," ","850 Third Avenue","15th Floor","New York","NY",10022,"523920", 461377713, ,"Limited Liability Company"," "," "," ","805 Third Avenue","805 Third Avenue, 15th Floor",,"New York","NY",10022,3,0,3,0,284000,"ADDRESS",01/24/2018," "
"PEO01","D2C","JumpRope Inc."," ","2301 NW Thurman Street","Suite D","Portland","OR",97210,"511210", 352479015, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,114000,"ADDRESS",01/24/2018," "
"PEOUS","5ZO","Marketing Evolution, Inc."," ","11060 White Rock Road","Suite 180","Rancho Cordova","CA",95670,"541910", 204580791, ,"Corporation"," "," "," ","Office NY - HQ","578 Broadway","Suite 407","New York","NY",10012,19,16,19,16,3943744,"ADDRESS",01/24/2018," "
"PEOUS","K92","Meridian Imaging Group, LLC"," ","224 Seventh Street 3rd Floor",,"Garden City","NY",11530,"621111", 473847134, ,"Limited Liability Company"," "," "," ","Hempstead","230 Hilton Avenue",,"Hempstead","NY",11550,81,383,81,383,24186969,"ADDRESS",01/24/2018," "
"PEOUS","7XD","Maximum Marketing Inc"," ","7710-20 Nw 56th Way #200",,"Pompano Beach","FL",33073,"424490", 650247937, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,3,2,3,2,245800,"ADDRESS",01/24/2018," "
"PEOUS","L4H","Human Made, Inc."," ","100 Jericho Quadrangle","Suite 223","Jericho","NY",11753,"541512", 472573240, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,150000,"ADDRESS",01/24/2018," "
"PEOUS","NSG","Modus Operations LLC"," ","208 West 30th Street","Suite 701","New York","NY",10001,"541611", 811596807, ,"Limited Liability Company"," "," "," ","Midtown","208 W 30th Street","Suite 701","New York","NY",10001,1,0,1,0,150000,"ADDRESS",01/24/2018," "
"PEOUS","TGN","Malfitano Advisors, LLC"," ","3641 Paonia St",,"Boulder","CO",80301,"541611", 475670866, ,"Corporation"," "," "," ","Maspeth",,,,"NY",,1,0,1,0,244400,"ADDRESS",01/24/2018," "
"PEOUS","HWG","Spark Growth Partners LLC"," ","45 Main St","Suite 1036","Brooklyn","NY",11201,"541613", 453841190, ,"Limited Liability Company"," "," "," ","Brooklyn Office","45 Main Street","Suite 1036","Brooklyn","NY",11201,1,1,1,1,200000,"ADDRESS",01/24/2018," "
"PEOUS","AKS","Wayin, Inc."," ","1625 Blake Street",,"Denver","CO",80202,"541910", 273999648, ,"Corporation"," "," "," ","ES NYC","146 W. 29th St","12th Flr","New York","NY",10001,3,2,3,2,436606,"ADDRESS",01/24/2018," "
"PEO01","IE8","Libra Services Inc."," ","140 East 45th Street","Suite 17C","New York","NY",10017,"511210", 371756025, ,"Corporation"," "," "," ","NYC Office","140 East 45th Street","17th Floor","New York","NY",10017,10,1,10,1,1610000,"ADDRESS",01/24/2018," "
"PEOUS","9OV","roundCorner, Inc."," ","2075 Allston Way","Suuite 202","Berkeley","CA",94704,"541611", 270869701, ,"Corporation"," "," "," ","NY Office","349 5th Avenue, 5th Floor",,"New York","NY",10016,7,9,7,9,1789022,"ADDRESS",01/24/2018," "
"PEO02","GD9","Shelter Point Advisors LP"," ","445 Park Avenue, 10th Floor","Suite 1030","New York","NY",10022,"523930", 274469142, ,"Limited Partnership"," "," "," ","New York NY 10017","767 Third Avenue","11th Floor","New York","NY",10017,0,1,0,1,0,"ADDRESS",01/24/2018," "
"PEOUS","JDN","Kik US, Inc."," ","161 Bowery St","6th Floor","New York","NY",10002,"511210", 383941787, ,"Corporation"," "," "," ","New York Office","154 Grant St.","Attn: Kik Interactive Inc.","New York","NY",10013,4,3,4,3,671180,"ADDRESS",01/24/2018," "
"PEOUS","634","Emergent Payments, Inc."," ","2445 Augustine Drive","Suite 250","Santa Clara","CA",95054,"541511", 208350174, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,2,0,2,210000,"ADDRESS",01/24/2018," "
"PEO01","KR9","MapD Technologies, Inc."," ","1 Front Street","Suite 2650","San Francisco","CA",94111,"511210", 464023441, ,"Corporation"," "," "," ","New York","1460 Broadway","WW Tenant LLC","New York","NY",10036,2,0,2,0,410000,"ADDRESS",01/24/2018," "
"PEOUS","JON","BKSTG Inc."," ","1841 Centinela Avenue","2nd Floor","Santa Monica","CA",90404,"518210", 901014966, ,"Corporation"," "," "," ","Remote NY",,,,"NY",,0,1,0,1,205000,"ADDRESS",01/24/2018," "
"PEOUS","MBD","GasBuddy, LLC"," ","77 N Washington Street","4th Floor","Boston","MA",02114,"518210", 462016638, ,"Limited Liability Company"," "," "," ","Remote NY",,,,"NY",,1,0,1,0,375000,"ADDRESS",01/24/2018," "
"PEOUS","CIA","Traackr, Inc."," ","244 California Street","Suite 204","San Francisco","CA",94111,"511210", 264389516, ,"Corporation"," "," "," ","Remote NY HJ",,,,"NY",,1,4,1,4,402000,"ADDRESS",01/24/2018," "
"PEOUS","JKG","Triptyk Studios LLC"," ","420 West 45th Street","2nd Floor","New York","NY",10036,"711110", 473389996, ,"Limited Liability Company"," "," "," ","Triptyk Studios LLC-HQ","420 West 45th Street","2nd Floor","New York","NY",10036,2,0,2,0,227000,"ADDRESS",01/24/2018," "
"PEO02","GR8","Tappan Street Partners LLC"," ","33 Irving Place","Floor 3","New York","NY",10003,"523920", 452662859, ,"Limited Liability Company"," "," "," ","New York NY 10010-2007","1123 BROADWAY STE 1215",,"New York","NY",10010-2007,2,0,2,0,250000,"ADDRESS",01/24/2018," "
