"ny_dbl_record_id","pf_corp","company","legal_name","dba_name","company_address1","company_address2","company_city","company_state","company_zip","naics","federal_ein","state_dol","legal_status","client_phone","client_fax","email_addr","filing_descr","location_address1","location_address2","location_city","location_state","location_zip","dbl_males","dbl_females","pfl_males","pfl_females","covered_annual_payroll","status","status_date","cancel_reason"
2543,PEOUS,BEZ,Techstars Central LLC, ,"1050 Walnut St. Suite 202",null,Boulder,CO,"80302","525990", 264507415, ,Corporation, , , ,TSNYC,"36 Cooper Square","6th Floor",New York,NY,"10003",10,5,10,5,1426304,CANCEL,2018-01-23,Client's Request
2544,PEOUS,SO3,"Hudson Anesthesia Service, PC", ,"281 Broadway","2nd Floor",New York,NY,"10007","621111", 452131764, ,Corporation, , , ,"Hudson Anesthesia Service, -HQ","281 Broadway","2nd Floor",New York,NY,"10007",7,11,7,11,1114260,ADD,2018-01-23, 
2545,PEO02,GJL,BuySellAds.com Inc., ,"186 South Street","6th Floor",Boston,MA,"02211","541511", 270459300, ,Corporation, , , ,Remote NY,null,null,null,NY,null,2,0,2,0,255000,ADD,2018-01-23, 
2546,PEOUS,"3O4",null, ,"1661 E. Camelback Road",Suite 300,Phoenix,AZ,"85016","923120", 770518081, ,Corporation, , , ,Cisco Learning Inst.-Remote NY,null,null,null,NY,null,0,1,0,1,50000,CANCEL,2018-01-23,Client's Request
2547,PEOUS,IID,Diamond Game Enterprises, ,"9340 Penfield Ave",null,Chatsworth,CA,"91311","333318", 954458538, ,Corporation, , , ,Remote NY,null,null,null,NY,null,2,0,2,0,469363,ADD,2018-01-23, 
2548,PEOUS,PBJ,AK Engineering PC, ,"276 Fifth Avenue, Suite 907",null,New York,NY,"10001","541330", 471391700, ,Corporation, , , ,AK Engineering-HQ,"276 Fifth Avenue",Suite 907,New York,NY,"10001",15,10,15,10,1888322,ADD,2018-01-23, 
2549,PEOUS,M02,"Gaitman & Russo, LLP", ,"90 Main Street",null,Hempstead,NY,"11550","541110", 208662014, ,Limited Liability Partnership, , , ,Steven Gaitman ESQ-HQ,"90 Main Street",null,Hempstead,NY,"11550",1,0,1,0,35100,ADD,2018-01-23, 
2550,PEOUS,C1L,"72Lux, Inc.", ,"139 Fulton Street",Suite 137,New York,NY,"10038","541511", 263874828, ,Corporation, , , ,"72Lux Inc-HQ","139 Fulton Street",Suite 137,New York,NY,"10038",6,7,6,7,1000496,CANCEL,2018-01-23,Client's Request
2551,PEO01,I20,Questi, ,"1177 Avenue of the Americas","7th Floor",New York,NY,"10036","511210", 471751891, ,Corporation, , , ,Questi-HQ,"1177 Avenue of the Americas","7th Floor",New York,NY,"10036",0,1,0,1,70000,CANCEL,2018-01-23,Client's Request
2552,PEOUS,"9NP","TransMed System, Inc.", ,"21170 Canyon Oak Way",null,Cupertino,CA,"95014","541511", 272358859, ,Corporation, , , ,Ossining - NY,null,null,null,NY,null,1,0,1,0,156600,ADD,2018-01-23, 
2553,PEOUS,M6M,Zeus Enterprise Inc., ,"1460 Broadway","14th Floor",New York,NY,"10036","541613", 300833640, ,Corporation, , , ,Yieldify-HQ,"1460 Broadway","14th Floor",New York,NY,"10036",17,12,17,12,2251650,ADD,2018-01-23, 
2554,PEOUS,IM9,"Realnex, LLC", ,"2525 Box Canyon Dr",null,Las Vegas,NV,"89128","541511", 464056390, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,48000,ADD,2018-01-23, 
2555,PEOUS,ITB,"Porter and Sail, Inc.", ,"140 W 71st St","7th Floor",New York,NY,"10023","519130", 464290590, ,Corporation, , , ,Porter and Sail-HQ,"140 W 71st St","7th Floor",New York,NY,"10023",12,16,12,16,2339444,ADD,2018-01-23, 
2556,PEOUS,DL4,"DataArt Solutions, Inc.", ,"475 Park Ave S Fl 15",null,New York,NY,"10016","541511", 133933601, ,Corporation, , , ,"Dataart Solutions, Inc.-HQ","475 Park Ave S Fl 15",null,New York,NY,"10016",54,14,54,14,8864854,ADD,2018-01-23, 
2557,PEO02,GHF,"Sessa Capital IM, L.P.", ,"888 Seventh Avenue","30th Floor",New York,NY,"10019","523920", 208684364, ,Limited Partnership, , , ,"Sessa Capital IM, L.P.-HQ","888 Seventh Avenue","30th Floor",New York,NY,"10019",9,6,9,6,2615000,ADD,2018-01-23, 
2558,PEOUS,PCE,"ConsejoSano, Inc.", ,"5200 Lankershim Blvd",Suite 310,North Hollywood,CA,"91601","551114", 815164953, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,176000,ADD,2018-01-23, 
2559,PEO01,JRF,Carnyx Inc., ,"79 Madison Avenue",null,New York,NY,"10016","519130", 473863328, ,Corporation, , , ,Carnyx Inc.-HQ,"79 Madison Avenue",null,New York,NY,"10016",5,5,5,5,612500,ADD,2018-01-23, 
2560,PEO05,SRW,"Silkcafeone, LLC", ,"109 S 5th Street",wework c/o,Brooklyn,NY,"11249","722511", 821252144, ,Corporation, , , ,Silkcafeone-HQ,"109 S 5th Street",wework c/o,Brooklyn,NY,"11249",20,9,20,9,725496,CANCEL,2018-01-23,Client's Request
2561,PEOUS,BN6,"Solon Marketing, Inc", ,PO Box 66175,null,Austin,TX,"78766","561110", 455029178, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,1,1,1,100000,ADD,2018-01-23, 
2562,PEOUS,TD4,Albini USA Corp., ,"1001 Avenue of Americas",Suite 1700,New York,NY,"10018","424310", 471186466, ,Corporation, , , ,Albini Sales-HQ,"1001 Avenue of Americas",Suite 1700,New York,NY,"10018",2,2,2,2,910442,ADD,2018-01-23, 
2563,PEO02,ONQ,Way2 Develop LLC, ,"535 5th Avenue 30th Floor",null,New York,NY,"10017","531120", 205577218, ,Limited Liability Company, , , ,Way2 Develop LLC-HQ,"535 5th Avenue","30th Floor",New York,NY,"10017",1,0,1,0,60000,ADD,2018-01-23, 
2564,PEOUS,JCE,Omotenashi LLC, ,"15 East 26th Street",Apt 17A,New York,NY,"10010","525910", 473418837, ,Limited Liability Company, , , ,Omotenashi-HQ,"15 East 26th Street",Apt 17A,New York,NY,"10010",0,3,0,3,171775,ADD,2018-01-23, 
2565,PEOUS,NKV,ACLS Inc., ,"2612 W. Second St., Suite 2J",null,Brooklyn,NY,"11223","621511", 811890117, ,Corporation, , , ,ACLS Inc.-HQ,"2612 W. Second St., Suite 2J",null,Brooklyn,NY,"11223",1,1,1,1,137000,ADD,2018-01-23, 
2566,PEO01,IEZ,Unitas Global LLC, ,"453 S. Spring Street",Suite 201,Los Angeles,CA,"90013","518210", 270767181, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,140000,ADD,2018-01-23, 
2567,PEOUS,AEX,Progressive Digital Media Inc, ,"425 California Street",Suite 1300,San Francisco,CA,"94104","519130", 272350468, ,Corporation, , , ,New York Office,"441 Lexington Avenue",New York,New York,NY,"10017",12,3,12,3,865000,CANCEL,2018-01-23,Client's Request
2568,PEO01,BSP,MeeGenius Inc., ,"151 W 25th",Suite 30,New York,NY,"10001","541511", 264367480, ,Corporation, , , ,MeeGenius-HQ,"151 W 25th",Suite 30,New York,NY,"10001",20,14,20,14,2148224,CANCEL,2018-01-23,Client's Request
2569,PEOUS,AMW,"LSN Mobile, Inc.", ,"1000 Abernathy Rd",Suite 1550,Atlanta,GA,"30328","541511", 582660492, ,Corporation, , , ,LSN Mobile - NYC,"460 Park Ave South","12th Floor",New York,NY,"10016",2,2,2,2,495000,CANCEL,2018-01-23,Client's Request
2570,PEO02,GEJ,"Valinor Management, L.P.", ,"510 Madison Ave","25th FL",New York,NY,"10022","523930", 208961915, ,Limited Partnership, , , ,"Valinor Management, L.P.-HQ","510 Madison Ave","25th FL",New York,NY,"10022",35,15,35,15,6477600,ADD,2018-01-23, 
2571,PEOUS,LB1,SRES Management LLC, ,"110 Wall St",null,New York,NY,"10005","531311", 462323167, ,Limited Liability Company, , , ,SRES-HQ,"110 Wall St",null,New York,NY,"10005",4,2,4,2,172000,ADD,2018-01-23, 
2572,PEOUS,LKO,"EverCompliant,  Inc.", ,"33 West 60th St","2nd Floor",New York,NY,"10023","511210", 320479330, ,Corporation, , , ,"EverCompliant, Inc-HQ","33 West 60th St","2nd Floor",New York,NY,"10023",9,5,9,5,1803036,ADD,2018-01-23, 
2573,PEOUS,"9IH",Tritel Construction Group LLC, ,"420 Great Neck Road",null,Great Neck,NY,"11021","237310", 053545170, ,Limited Liability Company, , , ,"Tritel Construction Group, -HQ","420 Great Neck Road",null,Great Neck,NY,"11021",2,6,2,6,583100,CANCEL,2018-01-23,Client's Request
2574,PEOUS,M5P,Solve Advisors Inc, ,"265 Sunrise Highway",Suite 22,Rockville Center,NY,"11570","518210", 451607792, ,Corporation, , , ,Solve Advisors Inc-HQ,"265 Sunrise Highway",Suite 22,Rockville Centre,NY,"11570",10,4,10,4,1700000,ADD,2018-01-23, 
2575,PEOUS,KWF,"SolidOpinion, Inc.", ,"419 Lafayette Street","6th Floor",New York,NY,"10003","541511", 901058484, ,Corporation, , , ,"SolidOpinion, Inc-HQ","419 Lafayette Street","6th Floor",New York,NY,"10003",4,0,4,0,258000,ADD,2018-01-23, 
2576,PEO02,H0E,"International Beverage Company, Inc.", ,"1651 Mt Vernon Rd Suite 200",null,Dunwoody,GA,"30338","424820", 541646275, ,Corporation, , , ,New York NY 10009,"202 E 7th Street 2C",null,New York,NY,"10009",3,1,3,1,171956,CANCEL,2018-01-23,Client's Request
2577,PEOUS,L3A,Start Grid LLC, ,"508 Stony Brook Lane",null,Wyckoff,NJ,"07481","511210", 462545895, ,Corporation, , , ,Remote NY,null,null,null,NY,null,1,0,1,0,35100,CANCEL,2018-01-23,Client's Request
2578,PEOUS,KKE,Royal IT Inc, ,"222 Broadway","19th Floor",New York,NY,"10038","541512", 473285880, ,Corporation, , , ,Royal IT Inc-HQ,"222 Broadway","19th Floor",New York,NY,"10038",5,0,5,0,403000,ADD,2018-01-23, 
2579,PEOUS,"5UT","U.S. Risk Insurance Group, Inc.", ,"10210 N Central Expressway",Suite 500,Dallas,TX,"75231","524298", 752266373, ,Corporation, , , ,U.S. Risk Insurance-Remote NY,null,null,null,NY,null,0,1,0,1,91000,CANCEL,2018-01-23,Client's Request
2580,PEO02,GFA,"Investment Research Consortium Securities, LLC", ,"420 Lexington Ave",Suite 300,New York,NY,"10170","523920", 262916875, ,Limited Liability Company, , , ,Investment Research Consort-HQ,"420 Lexington Ave",Suite 300,New York,NY,"10170",15,4,15,4,1442000,ADD,2018-01-23, 
2581,PEO02,G30,Platinum Management (NY) LLC, ,"250 West 55th Street, 14th Fl",null,New York,NY,"10019","523920", 743027870, ,Corporation, , , ,Platinum Management (NY) LL-HQ,"250 West 55th Street, 14th Fl",null,New York,NY,"10019",73,19,73,19,10497708,CANCEL,2018-01-23,Client's Request
2582,PEO01,E4U,"Community Association for Jewish At-Risk Cemeteries, Inc", ,"360 Hamilton Ave",Suite 1110,White Plains,NY,"10601","813990", 562649778, ,Corporation, , , ,Community Association for J-HQ,"360 Hamilton Ave",Suite 1110,White Plains,NY,"10601",1,1,1,1,156775,ADD,2018-01-23, 
2583,PEOUS,UD7,Jeffrey T Stern, ,"4 Florence Road",null,Port Jefferson Station,NY,"11776","541611", 823551128, ,Corporation, , , ,Jeffrey T Stern-HQ,"4 Florence Road",null,Port Jefferson Station,NY,"11776",1,0,1,0,40650,ADD,2018-01-23, 
2584,PEO01,DGZ,CoolMath.COM LLC, ,"122 E 42nd Street",Suite 1611,New York,NY,"10168","519130", 330904201, ,Limited Liability Company, , , ,Coolmath-HQ,"122 E 42nd Street",Suite 1611,New York,NY,"10168",14,3,14,3,2862120,ADD,2018-01-23, 
2585,PEOUS,BUA,"Kaminario, Inc.", ,"2600 El Camino Real",Suite 601,Palo Alto,CA,"94306","423690", 460521570, ,Corporation, , , ,Manhatten,"54 W 39th St,","12 floor",NYC,NY,"10018",6,0,6,0,825000,CANCEL,2018-01-23,Client's Request
2586,PEOUS,AY5,ShuttleCloud Corp., ,"111 W Illinois St","5th Floor",Chicago,IL,"60654","518210", 272466960, ,Corporation, , , ,ShuttleCloud Corp.-HQ,"86 Chambers St",Ste 704,New York,NY,"10007",6,1,6,1,297800,ADD,2018-01-23, 
2587,PEOUS,HZO,Catalyst Lab Solutions LLC, ,"2255 Glades Road",Suite 324 A,Boca Raton,FL,"33431","621511", 471658667, ,Limited Liability Company, , , ,East Coast Pain Management,"1207 US Highway 9",null,Wappingers Falls,NY,"12590",0,6,0,6,323807,ADD,2018-01-23, 
2588,PEOUS,OB9,"Global Gateway Advisors, LLC", ,"81 Prospect St",null,Brooklyn,NY,"11201","541820", 273295802, ,Limited Liability Company, , , ,Global Gateway Advisors-HQ,"81 Prospect St",null,Brooklyn,NY,"11201",6,8,6,8,853164,ADD,2018-01-23, 
2589,PEOUS,B9L,"Flavorpill Productions, LLC", ,"26 Broadway","8th Floor",New York,NY,"10004","519130", 300063850, ,Limited Liability Company, , , ,Flavorpill-HQ,"26 Broadway","8th Floor",New York,NY,"10004",50,81,50,81,6517577,ADD,2018-01-23, 
2590,PEOUS,LX4,Jade Consulting Group LLC, ,"155 West 68th Street",Ste 2127,New York,NY,"10023","541611", 263002833, ,Limited Liability Company, , , ,WeWork Office,"79 Madison Avenue",co WeWork Khronos15th FL,New York,NY,"10016",0,2,0,2,125500,ADD,2018-01-23, 
2591,PEOUS,IDX,"Modern MD Management Services, LLC", ,"85 Broad Street","18th Floor",New York,NY,"10004","621493", 472239232, ,Limited Liability Company, , , ,Modern MD Management Servic-HQ,"85 Broad Street","18th Floor",New York,NY,"10004",30,92,30,92,4602813,CANCEL,2018-01-23,Client's Request
2592,PEO01,CYH,"MDV Management Co., LLC", ,"777 Mariners Island Blvd",Suite 550,San Mateo,CA,"94404","523910", 942951235, ,Limited Liability Company, , , ,Remote NY,null,null,null,NY,null,0,1,0,1,42500,ADD,2018-01-23, 
2593,PEOUS,TF9,Keeper Holdings Inc, ,"611 Broadway",Room 505,New York,NY,"10012","454110", 262972692, ,Corporation, , , ,Heartloom-HQ,"611 Broadway",Room 505,New York,NY,"10012",0,5,0,5,284000,ADD,2018-01-23, 
2594,PEO01,E4S,AroCap Partners LLC, ,"600 West 246th Street",Apt 912,New York,NY,"10471","531110", 464366530, ,Corporation, , , ,AroCap Partners-HQ,"600 West 246th Street",Apt 912,New York,NY,"10471",1,0,1,0,18200,CANCEL,2018-01-23,Client's Request
2595,PEOUS,KEU,"The Thought & Expression Company, LLC", ,"190 N. 10th St",Suite 305,Brooklyn,NY,"11211","519130", 271642979, ,Limited Liability Company, , , ,The Thought & Expression Co-HQ,"190 N. 10th St",Suite 305,Brooklyn,NY,"11211",14,21,14,21,2491436,ADD,2018-01-23, 
2596,PEO02,JY7,Hangar Management LLC, ,"349 5th Avenue",null,New York,NY,"10016","523920", 465124747, ,Limited Liability Company, , , ,Hangar Management LLC-HQ,"349 5th Avenue",null,New York,NY,"10016",3,1,3,1,337620,ADD,2018-01-23, 
2597,PEOUS,KUQ,"The Berkman Law Firm, PLLC", ,PO Box 217,null,Baldwin,NY,"11510","541110", 271137676, ,Limited Liability Company, , , ,The Berkman Law Firm PLLC-HQ,"2592 Overlook Place",null,Baldwin,NY,"11510",1,0,1,0,35100,ADD,2018-01-23, 
2598,PEOUS,STI,Willow Tree Credit Partners LP, ,"640 Fifth Avenue","21st Floor",New York,NY,"10019","523930", 815369722, ,Corporation, , , ,Willow Tree Credit Partners-HQ,"640 Fifth Avenue","21st Floor",New York,NY,"10019",6,2,6,2,1369360,ADD,2018-01-23, 
2599,PEO02,GCE,"Levy Holm Pellegrino & Drath, LLP", ,"950 Third Avenue","31st Floor",New York,NY,"10022","523930", 204344556, ,Limited Liability Partnership, , , ,Levy Holm Pellegrino & Drat-HQ,"950 Third Avenue","31st Floor",New York,NY,"10022",4,20,4,20,1883047,ADD,2018-01-23, 
2600,PEOUS,OHR,"Gabrielle Bernstein, Inc.", ,"143 Avenue B",Apt 3B,New York,NY,"10009","711510", 943460222, ,Corporation, , , ,"Gabrielle Bernstein, Inc-HQ","143 Avenue B",Apt 3B,New York,NY,"10009",1,1,1,1,180000,ADD,2018-01-23, 
2601,PEOUS,OZW,Wazer Inc, ,"3023 Netherland Ave",null,Bronx,NY,"10463","333517", 810981513, ,Corporation, , , ,WAZER-HQ,"3023 Netherland Ave",null,Bronx,NY,"10463",10,0,10,0,517667,ADD,2018-01-23, 
2602,PEOUS,KFG,"The Kenjya-Trusant Group, LLC", ,"8894 Stanford Blvd",Suite 400,Columbia,MD,"21045","541512", 550811374, ,Limited Liability Company, , , ,New York,null,null,null,NY,null,0,1,0,1,53000,ADD,2018-01-23, 
2603,PEO01,BOZ,"Runa, LLC", ,"79 Madison Avenue",Suite 17021,New York,NY,"10016","424490", 263776111, ,Limited Liability Company, , , ,"Runa, LLC-HQ","79 Madison Avenue",Suite 17021,New York,NY,"10016",40,43,40,43,4871485,ADD,2018-01-23, 
2604,PEOUS,"50F",Flanders Investment & Trade, ,Consulate Belgium - Flanders Rep.,"6100 Wilshire Blvd. Suite 1200",Los Angeles,CA,"90048","523920", 811252564, ,Government Entity, , , ,Flanders Investment-N.Y. NY,"1330 Avenue of the Americas","26th Floor-Consulate Belgium Flanders Rep",New York,NY,"10019",6,11,6,11,1127374,ADD,2018-01-23, 
2605,PEOUS,UIY,Bluemont Associates LLC, ,"12 East 49th Street","11th Floor c/o WeWork",New York,NY,"10017","561312", 823676823, ,Corporation, , , ,Bluemont Associates-HQ,"12 East 49th Street","11th Floor c/o WeWork",New York,NY,"10017",0,1,0,1,114400,ADD,2018-01-23, 
2606,PEOUS,T54,Seedlip Inc, ,"820 Bear Tavern Road",null,Ewing Township,NJ,"08628","541613", 822061642, ,Corporation, , , ,Remote NY,null,null,null,NY,null,0,1,0,1,80000,ADD,2018-01-23, 
2607,PEOUS,TKV,Digital Citizen LLC, ,"200 Broadway","3rd Floor",New York,NY,"10038","541810", 371831831, ,Corporation, , , ,Digital Citizen LLC-HQ,"200 Broadway","3rd Floor",New York,NY,"10038",2,1,2,1,300000,ADD,2018-01-23, 
2608,PEOUS,IXW,"Travel Spike, LLC", ,"3101 Cobb Parkway SE",Suite 124,Atlanta,GA,"30339","519130", 030393778, ,Limited Liability Company, , , ,NY Office,"902 Broadway","6th Floor, Suite 18",New York,NY,"10010",6,0,6,0,640000,ADD,2018-01-23, 
2609,PEO01,DMO,"Social Yantra, Inc.", ,"1600 El Camino Real",Suite A,San Carlos,CA,"94070","518210", 274870258, ,Corporation, , , ,New York,"7 Lynn Court",null,Hampton Bays,NY,"11946",0,1,0,1,100000,CANCEL,2018-01-23,Client's Request
2610,PEOUS,DZS,"WeWork Management, LLC", ,"12 East 49th Street","11th Floor",New York,NY,"10017","531120", 273869551, ,Limited Liability Company, , , ,WeWork-HQ,"12 East 49th Street","11th Floor",New York,NY,"10017",2557,2194,2557,2194,338599156,CANCEL,2018-01-23,Client's Request
2611,PEOUS,AZD,"Doubledub, Inc.", ,"500 West 43rd St, Apt 39D",null,New York,NY,"10036","519130", 275392683, ,Corporation, , , ,"Doubledub, Inc-HQ","500 West 43rd St, Apt 39D",null,New York,NY,"10036",34,13,34,13,5845200,ADD,2018-01-23, 
2612,PEOUS,I9H,"CAS Investment Partners, LLC", ,"1745 Broadway",FL 17,New York,NY,"10023","523920", 460901365, ,Limited Liability Company, , , ,"CAS Investment Partners, LL-HQ","1745 Broadway",FL 17,New York,NY,"10023",5,2,5,2,624300,ADD,2018-01-23, 
2613,PEOUS,MHN,Vestiaire Collective USA. Inc., ,"601 West 26th Street",Suite 1733,New York,NY,"10001","454110", 455396984, ,Corporation, , , ,Vestiaire-HQ,"601 West 26th Street",Suite 1733,New York,NY,"10001",7,28,7,28,2794634,ADD,2018-01-23, 
2614,PEOUS,M64,ArtistShare Inc., ,"12 W 87th St",null,New York,NY,"10024","519130", 202567428, ,Corporation, , , ,ArtistShare-HQ,"12 W 87th St",null,New York,NY,"10024",3,0,3,0,150000,ADD,2018-01-23, 
2615,PEO01,DTD,"NBS Diamond, Inc.", ,"589 Fifth Ave",Suite 910,New York,NY,"10017","423940", 113282549, ,Corporation, , , ,"NBS Diamond, Inc.-HQ","589 Fifth Ave",Suite 910,New York,NY,"10017",3,4,3,4,558700,ADD,2018-01-23, 
2616,PEOUS,PLR,Estify Inc, ,"5023 North Parkway Calabasas",null,Calabasas,CA,"91302","511210", 455422321, ,Corporation, , , ,Remote NY,null,null,null,NY,null,2,0,2,0,135000,ADD,2018-01-23, 
2617,PEO03,MQD,"Ethel's Foundation for the Arts, Inc.", ,"C/O Robert D. Mitgang, CPA","303 S Broadway #105",Tarrytown,NY,"10591","711130", 134198925, ,Corporation, , , ,"Tarrytown, NY","303 S Broadway #105",null,Tarrytown,NY,"10591",2,2,2,2,0,CANCEL,2018-01-23,Client's Request
2618,PEOUS,JMT,Udisense Inc., ,"315 W 36th St","2nd Floor",New York,NY,"10018","334118", 465717698, ,Corporation, , , ,Nanit-HQ,"315 W 36th St","2nd Floor",New York,NY,"10018",17,7,17,7,2427684,ADD,2018-01-23, 
2619,PEOUS,"5PI",Dataline LLC, ,C/O Boudreau - FTI,"1001 17th St #1100",Denver,CO,"80202","541519", 541561532, ,Limited Liability Company, , , ,Dataline LLC-Offsite NY,null,null,null,NY,null,4,0,4,0,179953,CANCEL,2018-01-23,Client's Request
2620,PEOUS,P3Y,Vainu Inc, ,"79 Madison Avenue",null,New York,NY,"10016","511210", 814667861, ,Corporation, , , ,Vainu Inc-HQ,"79 Madison Avenue",null,New York,NY,"10016",9,6,9,6,803720,ADD,2018-01-23, 
2621,PEO02,G22,"Edge Technology Group, LLC", ,"415 Madison Ave, 7th Floor",null,New York,NY,"10017","541511", 421723516, ,Limited Liability Company, , , ,"Edge Technology Group, LLC-HQ","415 Madison Ave, 7th Floor",null,New York,NY,"10017",92,9,92,9,10657668,ADD,2018-01-23, 
2622,PEO07,EAF,"Bond Street Marketplace, Inc.", ,"392 Central Park West",Apt 16R,New York,NY,"10025","518210", 464020685, ,Corporation, , , ,Bond Street-HQ,"392 Central Park West",Apt 16R,New York,NY,"10025",35,11,35,11,5446500,CANCEL,2018-01-23,Client's Request
2623,PEOUS,MK6,Jiko Services LLC, ,"401 Park Avenue South","9th Floor",New York,NY,"10016","522120", 474393317, ,Limited Liability Company, , , ,Jiko Services-HQ,"401 Park Avenue South","9th Floor",New York,NY,"10016",6,1,6,1,987000,CANCEL,2018-01-23,Client's Request
2624,PEO01,CL4,The Word NYC Inc., ,"1177 Avenue of the Americas","7th Floor",New York City,NY,"10036","315210", 454895918, ,Corporation, , , ,The Word NYC-HQ,"1177 Avenue of the Americas","7th Floor",New York City,NY,"10036",0,1,0,1,34125,CANCEL,2018-01-23,Client's Request
2625,PEO02,FYG,"Curex Group Holdings, LLC", ,"120 W45th Street, 22nd Fl",null,New York,NY,"10036","523930", 300574807, ,Limited Liability Company, , , ,"Curex Group Holdings, LLC-HQ","120 W45th Street, 22nd Fl",null,New York,NY,"10036",62,10,62,10,11506800,ADD,2018-01-23, 
2626,PEOUS,L8W,PowerInbox Inc., ,"568 Broadway","11th Floor",New York,NY,"10012","511210", 452236035, ,Corporation, , , ,PowerInbox-HQ,"568 Broadway","11th Floor",New York,NY,"10012",9,1,9,1,1040000,CANCEL,2018-01-23,Client's Request
2627,PEOUS,AS7,TAP Advisors LLC, ,"390 Park Avenue","9th Floor",New York,NY,"10022","541611", 270645708, ,Limited Liability Company, , , ,TAP Advisors LLC-HQ,"390 Park Avenue","9th Floor",New York,NY,"10022",65,15,65,15,7344315,ADD,2018-01-23, 
2628,PEOUS,I3E,Strajillion Inc., ,"3040 Walnut Clay Dr",null,Austin,TX,"78731","511210", 465060882, ,Corporation, , , ,Remote NYC,null,null,null,NY,null,0,1,0,1,60000,CANCEL,2018-01-23,Client's Request
2629,PEOUS,J90,"Berk Comm & Marketing Group, LLC", ,"350 7th Ave",Room 2204,New York,NY,"10001","541820", 611703475, ,Limited Liability Company, , , ,Berk Comm & Marketing Group-HQ,"350 7th Ave",Room 2204,New York,NY,"10001",1,5,1,5,692000,CANCEL,2018-01-23,Client's Request
2630,PEOUS,EDE,"Chakana Media, Inc.", ,"39 Ray Cliff Dr",null,Accord,NY,"12404","512110", 464754502, ,Corporation, , , ,"Chakana Media, Inc.-HQ","39 Ray Cliff Dr",null,Accord,NY,"12404",3,7,3,7,630700,ADD,2018-01-23, 
2631,PEOUS,HJB,"Voltaiq, Inc.", ,"108 E 4th St",Apt 2,New York,NY,"10003","518210", 455020317, ,Corporation, , , ,"Voltaiq, Inc-HQ","108 E 4th St",Apt 2,New York,NY,"10003",8,0,8,0,850000,ADD,2018-01-23, 
2632,PEO01,IR4,Snap Marketing LLC, ,"5 Hanover Sq Mezzanine",null,New York,NY,"10004","541810", 134090938, ,Corporation, , , ,Escalate-HQ,"5 Hanover Sq Mezzanine",null,New York,NY,"10004",8,3,8,3,915000,CANCEL,2018-01-23,Client's Request
2633,PEO01,EFE,"Complete Solutions & Sourcing, Inc.", ,"200 Executive Blvd",null,Ossining,NY,"10562","541990", 870811519, ,Corporation, , , ,Complete Solutions & Sourc HQ,"200 Executive Blvd",null,Ossining,NY,"10562",9,24,9,24,1260690,ADD,2018-01-23, 
2634,PEO02,GNE,TEEMA Inc., ,"116 N., Old Litchfield",Unit 116A,Litchfield Park,AZ,"85430-4316","541611", 010873614, ,Corporation, , , ,Remote NY,"9201 LAMONT AVE APT 4D",null,ELMHURST,NY,"11373-2708",1,0,1,0,52000,ADD,2018-01-23, 
2635,PEOUS,"6Z3",Mando Group NY Inc, ,"261 East 78th street",SIXTH FLOOR,New York,NY,"10075","621111", 271532610, ,Corporation, , , ,Mando Group NY Inc-HQ,"261 East 78th street",SIXTH FLOOR,New York,NY,"10075",0,3,0,3,194000,CANCEL,2018-01-23,Client's Request
2636,PEOUS,"4DH","GK North America, Inc.", ,"4096 Piedmont Ave. #359",null,Oakland,CA,"94611","541840", 200633167, ,Corporation, , , ,GK North America-Remote NY,null,null,null,NY,null,1,0,1,0,54000,CANCEL,2018-01-23,Client's Request
2637,PEO02,GB4,Scott's Cove Management LLC, ,"400 Madison Avenue","14th Floor",New York,NY,"10017","523920", 274579578, ,Limited Liability Company, , , ,Scott's Cove Management LLC-HQ,"400 Madison Avenue","10th Floor",New York,NY,"10017",6,1,6,1,760000,ADD,2018-01-23, 
2638,PEOUS,U0W,"Risk Focus, Inc.", ,"225 W 35th St",Fl 11,New York,NY,"10001","511210", 201294306, ,Corporation, , , ,"Risk Focus, Inc.-HQ","225 W 35th St",Fl 11,New York,NY,"10001",17,9,17,9,4375600,ADD,2018-01-23, 
2639,PEOUS,M76,"PlayDate Digital, Inc.", ,"112 W 34th Street",Suite 1700,New York,NY,"10120","511210", 461067864, ,Corporation, , , ,PlayDate Digital-HQ,"112 W 34th Street",Suite 1700,New York,NY,"10120",0,1,0,1,23660,CANCEL,2018-01-23,Client's Request
2640,PEOUS,OIM,Channel Factory LLC, ,"8383 Wilshire Blvd",Suite 930,Beverly Hills,CA,"90211","518210", 272551163, ,Limited Liability Company, , , ,New York,"135 E 57th street","11th Floor",New York,NY,"10022",5,8,5,8,1189844,ADD,2018-01-23, 
2641,PEOUS,NKC,Wildgoose Events Inc., ,"404 5th Ave",null,New York,NY,"10018","519130", 364826761, ,Corporation, , , ,Wildgoose Events Inc.-HQ,"404 5th Ave",null,New York,NY,"10018",0,2,0,2,147444,CANCEL,2018-01-23,Client's Request
2642,PEO02,M9G,Ruton Capital LLC, ,"280 Park Ave",E20,New York,NY,"10017","523920", 475139770, ,Limited Liability Company, , , ,Ruton Capital LLC-HQ,"280 Park Ave",E20,New York,NY,"10017",5,4,5,4,1938000,ADD,2018-01-23, 
